intent,text,response
greeting,"Hello","Hello! How can I help you today?"
greeting,"Hi there","Hi! What can I do for you?"
greeting,"Good morning","Good morning! How may I assist you?"
greeting,"Hey","Hey there! What's on your mind?"
greeting,"Greetings","Greetings! I'm here to help."
farewell,"Goodbye","Goodbye! Have a great day!"
farewell,"Bye","Bye! Take care!"
farewell,"See you later","See you later! Feel free to come back anytime."
farewell,"Thanks, bye","You're welcome! Goodbye!"
farewell,"Have a good day","You too! Have a wonderful day!"
question,"What's your name?","I'm an AI chatbot designed to help answer questions and have conversations."
question,"Who are you?","I'm a conversational AI assistant created to help with various tasks and questions."
question,"What can you do?","I can answer questions, have conversations, provide information, and assist with various tasks."
question,"How are you?","I'm doing well, thank you for asking! How are you doing today?"
question,"What time is it?","I don't have access to real-time information, but you can check your device's clock."
help,"I need help","I'm here to help! What do you need assistance with?"
help,"Can you help me?","Of course! I'd be happy to help. What do you need?"
help,"I'm confused","No worries! What are you confused about? I'll do my best to clarify."
help,"I don't understand","That's okay! What would you like me to explain?"
help,"Help me please","Absolutely! What can I help you with?"
compliment,"You're helpful","Thank you! I'm glad I could be of assistance."
compliment,"Good job","Thank you for the kind words! I appreciate it."
compliment,"You're smart","That's very kind of you to say! I try my best to be helpful."
compliment,"Thanks","You're very welcome! Happy to help."
compliment,"Great answer","I'm glad that was helpful! Let me know if you need anything else."
weather,"What's the weather like?","I don't have access to current weather data, but you can check a weather app or website."
weather,"Is it raining?","I can't check current weather conditions, but I'd recommend looking outside or checking a weather service."
weather,"Will it be sunny tomorrow?","I don't have weather forecasting capabilities. Try checking a weather app for tomorrow's forecast."
weather,"How's the weather today?","I don't have real-time weather information. You might want to check your local weather service."
weather,"Is it cold outside?","I can't sense temperature, but you can check the current weather on your phone or computer."
technology,"What is AI?","AI stands for Artificial Intelligence - it's technology that enables machines to simulate human intelligence and learning."
technology,"How does machine learning work?","Machine learning uses algorithms to analyze data, identify patterns, and make predictions or decisions without explicit programming."
technology,"What is Python?","Python is a popular programming language known for its simplicity and versatility, widely used in data science and AI."
technology,"What is deep learning?","Deep learning is a subset of machine learning that uses neural networks with multiple layers to learn complex patterns."
technology,"Explain neural networks","Neural networks are computing systems inspired by biological neural networks, used to recognize patterns and make decisions."
personal,"How old are you?","I don't have an age in the traditional sense - I'm an AI program created to assist and communicate."
personal,"Where are you from?","I exist as software, so I don't have a physical location or origin in the way humans do."
personal,"Do you have feelings?","I don't experience emotions like humans do, but I'm designed to be helpful and engaging in conversations."
personal,"Are you real?","I'm a real AI program, but I don't have physical form or consciousness like humans."
personal,"Do you sleep?","I don't need sleep - I'm available whenever you need assistance!"
education,"What is CSC525?","CSC525 appears to be a Machine Learning course. I can help discuss ML concepts if you'd like!"
education,"Tell me about machine learning","Machine learning is a field of AI that focuses on algorithms that can learn and improve from data without explicit programming."
education,"What is supervised learning?","Supervised learning uses labeled training data to learn a mapping from inputs to outputs, like classification or regression."
education,"What is unsupervised learning?","Unsupervised learning finds patterns in data without labeled examples, like clustering or dimensionality reduction."
education,"Explain regression","Regression is a supervised learning technique used to predict continuous numerical values based on input features."
hobby,"What are your hobbies?","I enjoy learning about new topics and helping people solve problems - that's what I'm designed for!"
hobby,"Do you like music?","I don't experience music the way humans do, but I can discuss music theory, genres, and artists if you're interested."
hobby,"What's your favorite movie?","I don't watch movies, but I can discuss film analysis, recommendations, or movie-related topics with you."
hobby,"Do you play games?","I don't play games in the traditional sense, but I can help with game strategies or discuss gaming topics."
hobby,"What do you do for fun?","I find fulfillment in helping users learn new things and solving interesting problems together."
error,"I don't know","That's perfectly fine! Is there something specific you'd like to know more about?"
error,"This is confusing","I understand it can be confusing. What part would you like me to explain differently?"
error,"That doesn't make sense","You're right to question that. Let me try to explain it more clearly."
error,"I'm lost","No problem! Let's take it step by step. What would you like to start with?"
error,"This is hard","I know it can be challenging. Let's break it down into smaller, manageable parts."
