IncidentId,AlertTitle,Category,Severity,MitreTechnique,Description,AffectedSystems,RemediationSteps,Status,AssignedTo
INC-2024-001,Suspicious PowerShell Execution,Malware,High,T1059,PowerShell script executed with encoded commands attempting to download and execute malicious payload from external server. Script used obfuscation techniques to evade detection.,"DESKTOP-WIN10-01, SERVER-DC-02",1. Isolate affected systems 2. Run antimalware scan 3. Check persistence 4. Review PowerShell policies 5. Update detection rules,Resolved,SOC Team Alpha
INC-2024-002,Phishing Campaign Detected,Phishing,Critical,T1566,Large-scale phishing campaign targeting employees with credential harvesting emails. Emails contained malicious links redirecting to fake Office 365 login pages.,"Email Infrastructure, 45 user accounts",1. Block malicious domains 2. Remove phishing emails 3. Reset passwords 4. Implement email security rules 5. Security training,In Progress,Email Security Team
INC-2024-003,Ransomware Encryption Activity,Ransomware,Critical,T1486,Ransomware detected encrypting files on network shares. Ransom note demanding cryptocurrency payment. Attack originated from compromised VPN account.,"File Server FS-01, Network Shares, 200+ encrypted files",1. Isolate systems 2. Restore from backups 3. Identify attack vector 4. Patch vulnerabilities 5. Network segmentation 6. Review VPN logs,Resolved,Incident Response Team
INC-2024-004,Privilege Escalation Attempt,Privilege Escalation,High,T1068,User account exploited unpatched vulnerability in Windows service to gain SYSTEM privileges. Suspicious process creation and registry modifications detected.,WORKSTATION-HR-05,1. Apply security patches 2. Review user permissions 3. Monitor lateral movement 4. Least privilege principles 5. Enhanced monitoring,Resolved,Security Operations
INC-2024-005,Suspicious Account Activity,Account Compromise,High,T1078,User account showing unusual login patterns from multiple geographic locations and unusual hours. Suspicious file access and data exfiltration attempts detected.,"Domain Controller, File Servers, User: jsmith@company.com",1. Disable account 2. Force password reset 3. Review access logs 4. Check privilege changes 5. Additional monitoring,In Progress,Identity Security Team
INC-2024-006,Data Exfiltration via C2 Channel,Data Exfiltration,Critical,T1041,Malware detected establishing command and control channel and exfiltrating sensitive customer data. Large volumes of data transferred to external IP addresses over encrypted channels.,"Database Server DB-PROD-01, Network Infrastructure",1. Block malicious IP addresses 2. Isolate affected database server 3. Analyze exfiltrated data 4. Implement DLP controls 5. Review network monitoring 6. Notify stakeholders,In Progress,Data Protection Team
INC-2024-007,Remote Desktop Brute Force Attack,Brute Force,Medium,T1021,Multiple failed RDP login attempts detected from external IP addresses. Attackers attempting to gain access using common username/password combinations and credential stuffing.,"RDP Gateway, Domain Controllers",1. Block attacking IP addresses 2. Implement account lockout policies 3. Enable multi-factor authentication for RDP 4. Review and strengthen password policies 5. Consider disabling RDP from internet,Resolved,Network Security Team
INC-2024-008,Credential Dumping Activity,Credential Theft,High,T1003,Suspicious process detected attempting to dump credentials from LSASS memory. Potential use of Mimikatz or similar credential harvesting tools to extract plaintext passwords.,"WORKSTATION-IT-12, Domain Controller",1. Isolate affected workstation 2. Force password reset for all potentially compromised accounts 3. Enable credential guard 4. Review privileged account usage 5. Implement additional endpoint protection,Resolved,SOC Team Beta
INC-2024-009,SQL Injection Attack,Web Application Attack,High,T1190,SQL injection attack detected on customer portal web application. Attacker attempting to extract database contents and bypass authentication mechanisms.,"Web Server WEB-01, Customer Database",1. Take web application offline 2. Patch SQL injection vulnerability 3. Review database access logs 4. Implement input validation 5. Deploy web application firewall,Resolved,Application Security Team
INC-2024-010,Lateral Movement via SMB,Lateral Movement,High,T1021.002,Compromised account detected moving laterally across network using SMB protocol. Suspicious file transfers and remote command execution observed on multiple systems.,"WORKSTATION-FINANCE-03, SERVER-FILE-02, WORKSTATION-HR-07",1. Isolate affected systems 2. Disable compromised account 3. Review SMB logs 4. Implement network segmentation 5. Deploy endpoint detection and response tools,In Progress,Incident Response Team
